date,ov1,ov2,ov3,ov4,ov5,ov6,ov7,ov8,ov9,sv1,sv2,sv3,sv4,sv5,sv6
0,0.52031148,0.417125161,0.184360487,0.480666667,0.631502628,0.62722635,0.53015591,0.965139442,0.959959231,-16.0098,-16.3604,87,384,85.62,354.5356
0,0.503210507,0.416729813,0.184764319,0.466666667,0.633858981,0.640606653,0.529775126,0.965139442,0.959959231,-15.9738,-16.3634,91,377.2,85.824,352.9136
0,0.476674016,0.417553454,0.18489893,0.461333333,0.636034076,0.640971749,0.529129911,0.965139442,0.959959231,-15.9602,-16.3564,95.6,372.4,85.956,352.57
0,0.453741245,0.419958488,0.185583201,0.463666667,0.636940366,0.642293992,0.529002983,0.965139442,0.959959231,-15.9132,-16.3672,99.6,372.8,86.104,351.9494
0,0.425173082,0.41956314,0.18544859,0.464333333,0.636215334,0.633738887,0.527976984,0.965139442,0.959959231,-15.8916,-16.3604,103.4,373.8,86.196,351.4022
0,0.397063736,0.420749185,0.185987033,0.465666667,0.635852819,0.623979949,0.528230839,0.965139442,0.959959231,-15.9268,-16.3564,107.2,374,86.24,350.9598
0,0.417834435,0.418739499,0.185168151,0.473333333,0.633315208,0.613490818,0.527712551,0.965139442,0.959959231,-15.916,-16.3574,111,374.6,86.344,349.918
0,0.434411391,0.415115475,0.184618491,0.479666667,0.632952692,0.615296567,0.528484695,0.965139442,0.959959231,-15.8934,-16.38,114.8,371.8,86.516,347.7466
0,0.445681371,0.413105789,0.184618491,0.487,0.634040239,0.616016893,0.527966406,0.965139442,0.959959231,-15.9462,-16.3888,119,364.8,86.668,345.9906
0,0.469596974,0.414720127,0.185571983,0.498333333,0.635309045,0.615533387,0.52834719,0.965139442,0.959959231,-16.0136,-16.3858,122.4,359.8,86.856,344.1152
0,0.501375242,0.41392943,0.185302762,0.510333333,0.635490303,0.616135303,0.52834719,0.965139442,0.959959231,-16.0418,-16.4014,124,356.2,87.096,342.038
0,0.524373213,0.416334464,0.185717811,0.52,0.635127787,0.615178157,0.529246261,0.965139442,0.959959231,-16.1024,-16.4112,123.6,352.2,87.288,340.4014
0,0.551892537,0.417520509,0.185583201,0.529666667,0.633858981,0.62241102,0.529383766,0.965139442,0.959959231,-16.1806,-16.4092,122.6,349.6,87.428,339.0724
0,0.582491566,0.418739499,0.185717811,0.541,0.633677723,0.631212812,0.529383766,0.965139442,0.959959231,-16.2324,-16.421,122.2,347,87.524,338.1542
0,0.571549198,0.420353837,0.185717811,0.55,0.635490303,0.632416644,0.529902054,0.965139442,0.959959231,-16.2832,-16.4474,121.4,342.4,87.596,337.593
