date,PERIOD,P,I,N,A,IBP,D10,D30,D50,D70,D90,FBP,DEN,DS,FEED,DS_RATIO,COT,CIT,CIP,COP,H2,CH4,C2H4,C2H6,C3H6,C3H8
2019/9/6 10:00,0,37.45184447,39.23848451,17.61470801,5.684962853,37.05424601,63.10381025,83.02513733,104.3334479,128.8457286,174.2299418,212.3157934,713.0386556,29.85126078,19.04217305,1567.639403,762.0076955,612.7140909,88.25605821,46.17238595,39.8336676,2.648752391,2.792328797,0.485227021,0.071984369,0.034614786
2019/9/6 11:00,0.000520833,37.44175313,39.20876478,17.65432711,5.685156027,37.08459517,63.14432354,83.11984431,104.4192643,128.9268962,174.6278412,212.3935883,713.0741465,28.61295243,575.6870393,49.70226959,729.8938722,631.5948072,83.00128624,46.3131305,39.83339296,2.649387587,2.793223788,0.484544667,0.071861896,0.034362706
2019/9/6 12:00,0.001041667,37.43164622,39.17638175,17.6991442,5.682828228,37.10722694,63.17763322,83.24173381,104.510795,128.9909645,175.0373207,212.4591967,713.1132935,24.28738969,34652.19565,0.700890354,765.2753189,592.7727328,189.3356604,45.83840821,33.91911948,7.87303543,9.157272507,1.152902006,3.100964956,0.120266288
2019/9/6 13:00,0.0015625,37.44772847,39.1651727,17.72417084,5.652927677,37.12139467,63.19221509,83.34441935,104.5935754,129.0123319,175.3902585,212.4796527,713.1423391,19.87914769,38032.7777,0.522684613,801.0194672,584.3048041,181.0116041,46.01415451,13.74577446,26.08603119,30.11493754,3.394510617,11.91242094,0.377983134
2019/9/6 14:00,0.002083333,37.45883211,39.15608584,17.74150244,5.63357962,37.13747241,63.21625481,83.48607674,104.6928315,129.0628843,175.977155,212.4842506,713.1851186,19.87834286,38097.27646,0.521778581,808.7943098,589.3402341,183.3395669,45.64409022,13.98527631,26.78614802,30.45543052,3.351425252,11.48906569,0.360771492
2019/9/6 15:00,0.002604167,37.47532717,39.15808239,17.73806353,5.618527643,37.14859816,63.24262892,83.66801949,104.8092977,129.1190203,176.6289536,212.4445313,713.2398844,19.87990496,38521.96848,0.516066695,814.1629571,592.0126139,185.8288293,45.98700932,14.24948391,27.36215335,30.74728676,3.310512642,11.07779051,0.341775419
2019/9/6 16:00,0.003125,37.50036271,39.17386163,17.69234311,5.623432867,37.17479731,63.26635609,83.810068,104.9242626,129.1888087,177.1580246,212.3981036,713.289798,19.87983912,38502.26176,0.516329125,816.0244238,593.5072585,186.3996314,46.26854635,14.28514675,27.4719023,30.76472832,3.305278477,11.0129474,0.338383533
2019/9/6 17:00,0.003645833,37.53587742,39.18440221,17.66856896,5.601150211,37.14816761,63.24635798,83.89769122,104.9531469,129.1256401,177.3647743,212.3367338,713.2994181,20.01450128,38520.25479,0.519583824,816.5635607,593.8220933,187.0751462,45.99873929,14.32468456,27.5673461,30.83014141,3.293327624,10.94777961,0.337177628
2019/9/6 18:00,0.004166667,37.54622358,39.16161976,17.70212638,5.580029384,37.08420595,63.17709904,83.84710464,104.8614363,128.9048274,176.801104,212.3326734,713.2454417,20.41268523,38502.21078,0.530169173,817.9979815,594.5105373,190.1668615,45.43696418,14.3821014,27.57534055,30.94862938,3.266593016,10.89714926,0.333943188
2019/9/6 19:00,0.0046875,37.51082039,39.14240786,17.74812349,5.588647723,37.01297245,63.13111229,83.6154925,104.6376956,128.750088,176.0243746,212.3698153,713.1597382,20.41530358,38447.94842,0.530985512,818.3792065,595.1240928,190.0707769,45.55698818,13.3640728,27.71786185,31.85364804,3.606767649,11.544381,0.333349406
2019/9/6 20:00,0.005208333,37.48631872,39.16167018,17.71067314,5.6313375,37.01506659,63.12408689,83.43647639,104.5116301,128.756827,175.6731356,212.491494,713.1180949,20.41456007,38400.51002,0.531622108,818.9654774,595.218671,190.2406807,45.59825528,13.25349444,27.72899937,31.42588176,3.61810728,11.54313164,0.330866298
2019/9/6 21:00,0.005729167,37.49378783,39.20740833,17.61559607,5.673208761,37.04115372,63.12145125,83.34282761,104.4674103,128.8194471,175.754349,212.6362144,713.1057495,20.43339455,38372.65384,0.532498863,819.3656439,595.1308245,190.1899927,45.4043264,13.24345807,27.75415039,31.39635001,3.600520294,11.5047628,0.327305635
2019/9/6 22:00,0.00625,37.48657811,39.22089539,17.58253717,5.699989661,37.04928411,63.10801957,83.28083509,104.4215345,128.811101,175.5773104,212.716392,713.0909281,20.44589058,38358.58852,0.533019889,819.4182248,595.4939283,190.0693065,45.36523759,13.21647928,27.73790616,31.38034444,3.599311303,11.49626783,0.322433001
