date,ov1,ov2,ov3,ov4,ov5,ov6,ov7,ov8,ov9,sv6
0,0.52031148,0.417125161,0.184360487,0.480666667,0.631502628,0.62722635,0.53015591,0.965139442,0.959959231,354.5356
0,0.503210507,0.416729813,0.184764319,0.466666667,0.633858981,0.640606653,0.529775126,0.965139442,0.959959231,352.9136
0,0.476674016,0.417553454,0.18489893,0.461333333,0.636034076,0.640971749,0.529129911,0.965139442,0.959959231,352.57
0,0.453741245,0.419958488,0.185583201,0.463666667,0.636940366,0.642293992,0.529002983,0.965139442,0.959959231,351.9494
0,0.425173082,0.41956314,0.18544859,0.464333333,0.636215334,0.633738887,0.527976984,0.965139442,0.959959231,351.4022
0,0.397063736,0.420749185,0.185987033,0.465666667,0.635852819,0.623979949,0.528230839,0.965139442,0.959959231,350.9598
0,0.417834435,0.418739499,0.185168151,0.473333333,0.633315208,0.613490818,0.527712551,0.965139442,0.959959231,349.918
0,0.434411391,0.415115475,0.184618491,0.479666667,0.632952692,0.615296567,0.528484695,0.965139442,0.959959231,347.7466
0,0.445681371,0.413105789,0.184618491,0.487,0.634040239,0.616016893,0.527966406,0.965139442,0.959959231,345.9906
0,0.469596974,0.414720127,0.185571983,0.498333333,0.635309045,0.615533387,0.52834719,0.965139442,0.959959231,344.1152
0,0.501375242,0.41392943,0.185302762,0.510333333,0.635490303,0.616135303,0.52834719,0.965139442,0.959959231,342.038
0,0.524373213,0.416334464,0.185717811,0.52,0.635127787,0.615178157,0.529246261,0.965139442,0.959959231,340.4014
0,0.551892537,0.417520509,0.185583201,0.529666667,0.633858981,0.62241102,0.529383766,0.965139442,0.959959231,339.0724
0,0.582491566,0.418739499,0.185717811,0.541,0.633677723,0.631212812,0.529383766,0.965139442,0.959959231,338.1542
0,0.571549198,0.420353837,0.185717811,0.55,0.635490303,0.632416644,0.529902054,0.965139442,0.959959231,337.593
0,0.564538161,0.426382895,0.187905234,0.562666667,0.618995831,0.61278036,0.529775126,0.965139442,0.959959231,337.192
0,0.566307421,0.432411953,0.189688825,0.587333333,0.603226391,0.593864401,0.529648199,0.965139442,0.959959231,336.9208
0,0.549992876,0.438473956,0.191887466,0.619333333,0.586006888,0.564942818,0.529648199,0.965139442,0.959959231,336.748
0,0.543505856,0.444503015,0.193671056,0.640666667,0.567337321,0.534698993,0.530293415,0.965139442,0.959959231,336.7888
0,0.595727212,0.448522387,0.195320037,0.648333333,0.548667754,0.513730598,0.530166487,0.965139442,0.959959231,337.0246
0,0.668654066,0.444107666,0.193267225,0.649333333,0.563712162,0.563008792,0.530293415,0.965139442,0.959959231,337.8032
0,0.736338339,0.440911936,0.192167904,0.636333333,0.581294182,0.631202944,0.53054727,0.965139442,0.959959231,339.1288
0,0.760319143,0.43646427,0.189969264,0.607666667,0.599419975,0.708198889,0.531054981,0.965139442,0.959959231,341.0678
0,0.778665359,0.426811188,0.18599825,0.576333333,0.636215334,0.747481326,0.531054981,0.965139442,0.959959231,343.5618
0,0.759008699,0.415939116,0.181477576,0.556,0.671198115,0.786043437,0.530790548,0.965139442,0.959959231,346.7588
0,0.702790006,0.410700754,0.179155543,0.544,0.691861519,0.775800993,0.531054981,0.965139442,0.959959231,350.7914
0,0.615580278,0.403848055,0.176822292,0.535666667,0.711437375,0.747481326,0.530928053,0.965139442,0.959959231,355.3014
0,0.594875584,0.442747426,0.225102255,0.524666667,0.638209172,0.667305573,0.53054727,0.965139442,0.959959231,359.931
0,0.57888865,0.468477997,0.235231706,0.519666667,0.547036433,0.560914407,0.530293415,0.965139442,0.959959231,364.4558
0,0.563949749,0.491803533,0.245495767,0.511333333,0.456588726,0.454158143,0.530293415,0.965139442,0.959959231,368.81
0,0.559101589,0.520367431,0.256589927,0.495,0.365053471,0.345487589,0.529775126,0.965139442,0.959959231,372.2828
0,0.568537108,0.546921643,0.266450157,0.477666667,0.273699474,0.236698625,0.530166487,0.965139442,0.959959231,375.1216
0,0.579675882,0.528547425,0.226796491,0.472,0.274787022,0.169395025,0.529902054,0.965139442,0.959959231,377.606
0,0.57875825,0.527361381,0.226796491,0.471666667,0.274424506,0.168191192,0.53015591,0.965139442,0.959959231,379.9858
0,0.57391009,0.520541627,0.222421645,0.479666667,0.311582382,0.196866088,0.530028982,0.965139442,0.959959231,382.4614
0,0.563622943,0.507659869,0.217900971,0.496333333,0.348015226,0.225540985,0.531192486,0.965139442,0.959959231,385.2146
0,0.570175163,0.496392449,0.213245687,0.518333333,0.381547943,0.254936207,0.530282837,0.965139442,0.959959231,388.3548
0,0.586948525,0.483906039,0.20873623,0.536333333,0.417980787,0.285426719,0.53015591,0.965139442,0.959959231,391.7718
0,0.605557152,0.467795605,0.202028134,0.537666667,0.482871126,0.354459607,0.530028982,0.965139442,0.959959231,395.4616
0,0.612894995,0.460942905,0.199425661,0.536333333,0.510422331,0.384348204,0.529775126,0.965139442,0.959959231,399.4038
0,0.623182141,0.453299509,0.196004308,0.533,0.535254667,0.414463752,0.528865478,0.965139442,0.959959231,403.4534
0,0.628030301,0.444865417,0.194086106,0.531,0.565524742,0.44446089,0.529510694,0.965139442,0.959959231,407.4902
0,0.609422479,0.438045663,0.192022076,0.539666667,0.592169657,0.475059945,0.528992405,0.965139442,0.959959231,411.4126
0,0.602083831,0.436859618,0.191472416,0.566,0.591807142,0.465182598,0.52873855,0.965139442,0.959959231,414.9722
0,0.620627258,0.434454584,0.191472416,0.597666667,0.589450788,0.465182598,0.529256838,0.965139442,0.959959231,407.7202
0,0.639825102,0.43083056,0.190507706,0.630333333,0.600145006,0.47891813,0.529129911,0.964285714,0.958648806,410.3262
0,0.649325822,0.427601884,0.189273776,0.658,0.607576581,0.506389193,0.529267416,0.952191235,0.944962143,410.9266
0,0.671799776,0.42519685,0.187501402,0.678333333,0.617908283,0.526025478,0.529658776,0.937962436,0.930401864,410.5498
0,0.679334829,0.423977861,0.187232181,0.698,0.627152438,0.546145269,0.530039559,0.923733637,0.915841584,410.353
0,0.664853939,0.422363523,0.18599825,0.712333333,0.637121624,0.566866977,0.530039559,0.909504838,0.901281305,417.286
0,0.658760536,0.422791816,0.18544859,0.723666667,0.644190683,0.582526667,0.53043092,0.896129767,0.88803145,412.8318
0,0.658171319,0.421572826,0.184495098,0.732,0.652528548,0.583730499,0.53043092,0.893995447,0.887157833,410.2162
0,0.645525695,0.420749185,0.184764319,0.739666667,0.662135218,0.593736124,0.530949208,0.893995447,0.887157833,407.2178
0,0.639366286,0.419134847,0.184764319,0.752,0.66811673,0.603613471,0.53121364,0.893853159,0.885993011,403.2338
0,0.660005779,0.420749185,0.185313979,0.776666667,0.676817111,0.611438383,0.531594424,0.883892999,0.872597554,401.4084
0,0.648145778,0.423154219,0.186682521,0.790666667,0.679173464,0.613372409,0.531594424,0.869521912,0.855125218,400.5814
0,0.629405945,0.425987547,0.187366792,0.795333333,0.678267174,0.595423463,0.531594424,0.855150825,0.837652883,399.2542
0,0.718777745,0.430006919,0.1864133,0.796,0.6777234,0.575777311,0.531467496,0.840779738,0.820180547,399.3496
0,0.722185061,0.46890629,0.233728554,0.784333333,0.655842279,0.552477711,0.531467496,0.826550939,0.803873034,402.0516
0,0.740793688,0.476945034,0.236600248,0.779666667,0.618865661,0.543083871,0.53121364,0.822140011,0.799796156,405.234
0,0.750491618,0.485379127,0.239348548,0.804666667,0.572644889,0.513205142,0.531985784,0.822140011,0.799796156,408.2652
0,0.710523075,0.495822905,0.24291573,0.843333333,0.529324244,0.48259622,0.532112712,0.822140011,0.799796156,410.8118
0,0.64244599,0.515952711,0.25181125,0.880666667,0.448664465,0.383201096,0.532620423,0.822140011,0.799796156,412.582
0,0.548684042,0.499588179,0.212987683,0.915333333,0.392967192,0.336747481,0.532493495,0.822140011,0.799796156,412.24
0,0.583607215,0.514084275,0.217777578,0.921666667,0.351277868,0.23855619,0.532874278,0.822140011,0.799796156,412.4786
0,0.616695926,0.521332323,0.222287035,0.892666667,0.31702012,0.178670456,0.532229062,0.822140011,0.799796156,411.5456
0,0.705544514,0.528580371,0.226796491,0.861,0.281856081,0.139516296,0.532229062,0.822140011,0.799796156,411.29
0,0.780042614,0.506045531,0.218439414,0.822666667,0.352184158,0.18734397,0.531456919,0.822140011,0.799796156,411.3702
0,0.967370105,0.481896353,0.209398066,0.776333333,0.422693493,0.197823234,0.531710774,0.822140011,0.799796156,412.2148
0,0.905714035,0.456923533,0.201052206,0.739,0.491934022,0.306493788,0.53093863,0.822140011,0.799796156,411.9936
0,0.893198812,0.439231707,0.21708209,0.695666667,0.554468008,0.342283137,0.53054727,0.822140011,0.799796156,412.8684
0,0.880683588,0.421539881,0.233111974,0.652333333,0.617001994,0.378072487,0.53015591,0.822140011,0.799796156,412.5612
0,0.805791873,0.423154219,0.257633545,0.62,0.609026645,0.396514806,0.53015591,0.822140011,0.799796156,412.054
0,0.732210602,0.425987547,0.281874677,0.602333333,0.600870038,0.403145753,0.529637621,0.822140011,0.799796156,410.5758
0,0.743479776,0.428030178,0.306519642,0.566,0.593257205,0.353512329,0.529637621,0.822140011,0.799796156,411.2162
0,0.748983963,0.427206536,0.304736051,0.55,0.601776328,0.367119584,0.530409765,0.822140011,0.799796156,410.8284
0,0.763137242,0.424373209,0.303782559,0.541,0.611382998,0.385186939,0.530801125,0.822140011,0.799796156,411.179
0,0.778338553,0.423154219,0.310086824,0.528666667,0.619720863,0.407467709,0.531319414,0.822140011,0.799796156,411.8434
0,0.777552126,0.421144533,0.31556099,0.505666667,0.629327533,0.430113575,0.531710774,0.822140011,0.799796156,411.8922
0,0.824597711,0.417520509,0.320496713,0.491333333,0.63748414,0.439990922,0.531710774,0.822140011,0.799796156,409.8042
0,0.839667817,0.416334464,0.327350638,0.470666667,0.637121624,0.476737416,0.531203063,0.822140011,0.799796156,408.3738
0,0.828921854,0.418772444,0.334462567,0.444,0.636215334,0.512280079,0.531456919,0.822140011,0.799796156,407.1944
0,0.809396399,0.418377096,0.333363247,0.428,0.635309045,0.542405494,0.531203063,0.822140011,0.799796156,405.5724
0,0.784956779,0.417981748,0.333094026,0.425333333,0.63222766,0.572165813,0.531203063,0.822140011,0.799796156,404.7678
0,0.702267599,0.418772444,0.333228636,0.437,0.63222766,0.61156666,0.531721351,0.822140011,0.799796156,403.1998
0,0.657974108,0.419167792,0.333363247,0.464,0.632408918,0.592532291,0.531203063,0.822140011,0.799796156,403.3232
0,0.651487088,0.417948802,0.333363247,0.490333333,0.631502628,0.581687931,0.530684775,0.822140011,0.799796156,403.0126
